disease,symptom_1,symptom_2,symptom_3,symptom_4,symptom_5,symptom_6,symptom_7,symptom_8,symptom_9,symptom_10,symptom_11,symptom_12
roseola,runny nose,rash,swollen lymph nodes,abdominal pain,chills,,,,,,,
scarlet fever,fever,sore throat,red rash on the body,strawberry tongue,pale skin around lips,sore and red throat with patches,difficulty swallowing,"tender, enlarged neck glands",abdominal pain,headache and body aches,,
norovirus infection,diarrhea,vomiting,low-grade fever,muscle aches,nausea,fatigue,loss of appetite,dehydration,chills,rashes,fever,irritability
roseola,fatigue,sore throat,red eyes,vomiting,loss of appetite,rashes,chills,feverish,,,,
roseola,runny nose,irritability,swollen lymph nodes,sore throat,red eyes,vomiting,abdominal pain,,,,,
norovirus infection,diarrhea,low-grade fever,nausea,loss of appetite,dehydration,chills,general discomfort,irritability,,,,
roseola,high fever,fatigue,headache,red eyes,vomiting,loss of appetite,rashes,chills,,,,
roseola,runny nose,rash,irritability,swollen lymph nodes,headache,diarrhea,vomiting,body aches,rashes,chills,,
shigellosis (bacillary dysentery),nausea,vomiting,bloody stools,fatigue,loss of appetite,muscle aches,body aches,feverish,general discomfort,joint pain,,
norovirus infection,low-grade fever,nausea,headache,fatigue,dehydration,chills,sweating,rashes,general discomfort,irritability,,
roseola,high fever,rash,irritability,fatigue,sore throat,cough,red eyes,feverish,,,,
roseola,high fever,runny nose,irritability,swollen lymph nodes,headache,cough,red eyes,loss of appetite,body aches,,,
shigellosis (bacillary dysentery),fever,nausea,vomiting,bloody stools,dehydration,muscle aches,body aches,feverish,general discomfort,chills,,
roseola,rash,irritability,headache,cough,red eyes,loss of appetite,rashes,,,,,
norovirus infection,nausea,fatigue,dehydration,body aches,rashes,general discomfort,fever,irritability,,,,
shigellosis (bacillary dysentery),diarrhea,nausea,vomiting,fatigue,dehydration,muscle aches,rashes,general discomfort,joint pain,,,
roseola,runny nose,fatigue,sore throat,cough,diarrhea,abdominal pain,rashes,chills,feverish,,,
norovirus infection,vomiting,low-grade fever,nausea,abdominal pain,loss of appetite,dehydration,sweating,body aches,fever,,,
roseola,high fever,runny nose,rash,swollen lymph nodes,headache,cough,red eyes,diarrhea,body aches,rashes,,
roseola,high fever,runny nose,rash,irritability,fatigue,swollen lymph nodes,sore throat,headache,diarrhea,body aches,rashes,chills,feverish
"hand, foot, and mouth disease",rash on hands and feet,loss of appetite,irritability,sore throat,mouth sores,red spots,headache,mild fever,difficulty swallowing,,,
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,nausea,abdominal pain,dehydration,chills,sweating,rashes,fever,irritability
shigellosis (bacillary dysentery),fever,nausea,bloody stools,stomach cramps,fatigue,general discomfort,,,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,nausea,vomiting,dehydration,loss of appetite,muscle aches,feverish,chills,,
roseola,rash,irritability,swollen lymph nodes,sore throat,cough,red eyes,diarrhea,abdominal pain,rashes,chills,feverish,
shigellosis (bacillary dysentery),diarrhea,bloody stools,headache,fatigue,dehydration,general discomfort,,,,,,
roseola,runny nose,rash,irritability,sore throat,headache,diarrhea,vomiting,loss of appetite,chills,,,
norovirus infection,vomiting,stomach cramps,nausea,abdominal pain,dehydration,chills,sweating,rashes,fever,irritability,,
norovirus infection,stomach cramps,low-grade fever,nausea,headache,abdominal pain,loss of appetite,dehydration,chills,rashes,,,
roseola,high fever,runny nose,irritability,headache,vomiting,loss of appetite,abdominal pain,body aches,chills,feverish,,
shigellosis (bacillary dysentery),fever,diarrhea,dehydration,loss of appetite,muscle aches,body aches,feverish,rashes,general discomfort,,,
shigellosis (bacillary dysentery),nausea,bloody stools,dehydration,loss of appetite,body aches,joint pain,,,,,,
scarlet fever,red lines in body folds,strawberry tongue,difficulty swallowing,headache and body aches,,,,,,,,
norovirus infection,nausea,headache,fatigue,abdominal pain,dehydration,chills,body aches,irritability,,,,
roseola,high fever,runny nose,irritability,swollen lymph nodes,headache,cough,diarrhea,vomiting,body aches,rashes,,
roseola,high fever,runny nose,rash,fatigue,sore throat,cough,red eyes,abdominal pain,rashes,chills,feverish,
roseola,high fever,rash,irritability,cough,diarrhea,vomiting,body aches,feverish,,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,headache,abdominal pain,loss of appetite,sweating,body aches,general discomfort,,,
mumps,muscle aches,tiredness,trouble chewing,testicle pain and tenderness,fever,headache,muscle aches,,,,,
"hand, foot, and mouth disease",fever,rash on hands and feet,loss of appetite,irritability,sore throat,cough,sore muscles,general discomfort,difficulty swallowing,,,
shigellosis (bacillary dysentery),fever,nausea,vomiting,bloody stools,headache,fatigue,dehydration,loss of appetite,muscle aches,feverish,general discomfort,joint pain
"hand, foot, and mouth disease",sores in mouth,rash on hands and feet,loss of appetite,irritability,sore throat,mouth sores,blisters,fatigue,cough,mild fever,difficulty swallowing,
norovirus infection,diarrhea,vomiting,stomach cramps,muscle aches,nausea,fatigue,abdominal pain,chills,sweating,body aches,fever,irritability
roseola,high fever,runny nose,rash,irritability,swollen lymph nodes,headache,cough,diarrhea,abdominal pain,body aches,rashes,feverish
roseola,high fever,rash,sore throat,vomiting,body aches,rashes,chills,feverish,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,vomiting,stomach cramps,headache,feverish,rashes,general discomfort,chills,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,nausea,bloody stools,stomach cramps,headache,dehydration,loss of appetite,muscle aches,body aches,feverish,general discomfort
roseola,runny nose,rash,fatigue,swollen lymph nodes,cough,vomiting,body aches,feverish,,,,
norovirus infection,stomach cramps,nausea,headache,fatigue,dehydration,chills,sweating,rashes,general discomfort,fever,,
roseola,rash,swollen lymph nodes,sore throat,headache,cough,red eyes,vomiting,loss of appetite,body aches,rashes,chills,feverish
roseola,high fever,rash,fatigue,swollen lymph nodes,headache,cough,red eyes,body aches,rashes,feverish,,
norovirus infection,diarrhea,vomiting,stomach cramps,low-grade fever,nausea,headache,abdominal pain,loss of appetite,dehydration,body aches,rashes,
shigellosis (bacillary dysentery),fever,diarrhea,nausea,vomiting,headache,fatigue,loss of appetite,feverish,rashes,general discomfort,chills,joint pain
norovirus infection,stomach cramps,muscle aches,nausea,headache,fatigue,loss of appetite,sweating,,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,vomiting,headache,dehydration,loss of appetite,muscle aches,body aches,general discomfort,chills,,
roseola,high fever,swollen lymph nodes,headache,red eyes,diarrhea,loss of appetite,abdominal pain,body aches,feverish,,,
norovirus infection,diarrhea,stomach cramps,low-grade fever,nausea,headache,fatigue,abdominal pain,sweating,general discomfort,fever,,
mumps,fever,loss of appetite,trouble chewing,testicle pain and tenderness,fever,headache,muscle aches,tiredness,,,,
mumps,"swollen, painful salivary glands",pain while chewing or swallowing,fever,muscle aches,tiredness,,,,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,vomiting,bloody stools,dehydration,loss of appetite,muscle aches,feverish,,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,chills,fever,,,,,,,
norovirus infection,stomach cramps,low-grade fever,muscle aches,nausea,abdominal pain,sweating,rashes,general discomfort,fever,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,diarrhea,nausea,bloody stools,loss of appetite,feverish,,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,vomiting,stomach cramps,headache,dehydration,muscle aches,rashes,general discomfort,chills,,
shigellosis (bacillary dysentery),abdominal pain or cramps,vomiting,bloody stools,stomach cramps,headache,dehydration,loss of appetite,muscle aches,body aches,rashes,general discomfort,
shigellosis (bacillary dysentery),fever,diarrhea,stomach cramps,body aches,feverish,general discomfort,chills,,,,,
shigellosis (bacillary dysentery),fever,headache,fatigue,dehydration,muscle aches,body aches,feverish,general discomfort,joint pain,,,
norovirus infection,stomach cramps,low-grade fever,nausea,fatigue,chills,body aches,,,,,,
norovirus infection,diarrhea,vomiting,nausea,fatigue,abdominal pain,dehydration,chills,sweating,body aches,rashes,general discomfort,
mumps,headache,pain while chewing or swallowing,fever,muscle aches,trouble chewing,testicle pain and tenderness,headache,loss of appetite,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,diarrhea,bloody stools,stomach cramps,fatigue,feverish,,,,,,
norovirus infection,diarrhea,headache,abdominal pain,dehydration,body aches,general discomfort,irritability,,,,,
mumps,headache,"swollen, painful salivary glands",fever,muscle aches,testicle pain and tenderness,fever,tiredness,loss of appetite,,,,
shigellosis (bacillary dysentery),fever,abdominal pain or cramps,stomach cramps,muscle aches,feverish,general discomfort,chills,joint pain,,,,
mumps,headache,"swollen, painful salivary glands",fever,muscle aches,loss of appetite,testicle pain and tenderness,fever,headache,muscle aches,tiredness,loss of appetite,
norovirus infection,diarrhea,vomiting,low-grade fever,muscle aches,nausea,abdominal pain,dehydration,chills,sweating,fever,irritability,
roseola,high fever,fatigue,sore throat,headache,cough,loss of appetite,body aches,rashes,chills,feverish,,
roseola,high fever,runny nose,irritability,red eyes,diarrhea,vomiting,loss of appetite,abdominal pain,rashes,chills,feverish,
norovirus infection,diarrhea,vomiting,stomach cramps,muscle aches,nausea,headache,sweating,body aches,irritability,,,
norovirus infection,diarrhea,vomiting,low-grade fever,muscle aches,headache,loss of appetite,chills,fever,,,,
roseola,sore throat,headache,red eyes,diarrhea,vomiting,body aches,rashes,chills,,,,
norovirus infection,headache,loss of appetite,dehydration,body aches,rashes,general discomfort,irritability,,,,,
"hand, foot, and mouth disease",fever,sore throat,mouth sores,red spots,cough,headache,mild fever,,,,,
roseola,high fever,rash,fatigue,headache,cough,red eyes,abdominal pain,rashes,chills,feverish,,
"hand, foot, and mouth disease",fever,sores in mouth,rash on hands and feet,loss of appetite,irritability,sore throat,mouth sores,sore muscles,,,,
roseola,high fever,runny nose,sore throat,headache,cough,vomiting,loss of appetite,abdominal pain,rashes,,,
norovirus infection,vomiting,stomach cramps,nausea,headache,fatigue,sweating,body aches,,,,,
"hand, foot, and mouth disease",sores in mouth,irritability,sore throat,mouth sores,blisters,cough,headache,difficulty swallowing,,,,
"hand, foot, and mouth disease",sores in mouth,mouth sores,red spots,blisters,sore muscles,headache,mild fever,,,,,
roseola,fatigue,swollen lymph nodes,sore throat,headache,diarrhea,vomiting,abdominal pain,,,,,
roseola,runny nose,irritability,sore throat,cough,red eyes,diarrhea,abdominal pain,body aches,feverish,,,
roseola,high fever,runny nose,irritability,fatigue,swollen lymph nodes,sore throat,red eyes,vomiting,loss of appetite,body aches,rashes,chills,feverish
roseola,runny nose,rash,irritability,fatigue,sore throat,diarrhea,loss of appetite,chills,feverish,,,
shigellosis (bacillary dysentery),fever,nausea,headache,fatigue,dehydration,loss of appetite,feverish,,,,,
roseola,high fever,runny nose,rash,fatigue,swollen lymph nodes,cough,red eyes,diarrhea,vomiting,abdominal pain,body aches,rashes,chills,feverish
roseola,runny nose,rash,swollen lymph nodes,red eyes,diarrhea,vomiting,loss of appetite,abdominal pain,rashes,chills,,
roseola,runny nose,fatigue,sore throat,headache,red eyes,loss of appetite,,,,,,
roseola,runny nose,irritability,fatigue,swollen lymph nodes,cough,vomiting,loss of appetite,abdominal pain,chills,,,
roseola,high fever,runny nose,cough,red eyes,diarrhea,loss of appetite,abdominal pain,body aches,rashes,chills,,
shigellosis (bacillary dysentery),diarrhea,vomiting,bloody stools,stomach cramps,fatigue,muscle aches,body aches,general discomfort,chills,,,
pertussis (whooping cough),"sore, watery eyes",exhaustion,sneezing,runny nose,fatigue,,,,,,,
roseola,runny nose,irritability,fatigue,sore throat,headache,loss of appetite,abdominal pain,feverish,,,,
shigellosis (bacillary dysentery),fever,diarrhea,nausea,vomiting,bloody stools,stomach cramps,dehydration,body aches,rashes,general discomfort,chills,
shigellosis (bacillary dysentery),diarrhea,vomiting,stomach cramps,headache,fatigue,muscle aches,body aches,rashes,chills,,,
roseola,high fever,rash,fatigue,headache,diarrhea,abdominal pain,chills,,,,,
shigellosis (bacillary dysentery),diarrhea,vomiting,stomach cramps,headache,dehydration,muscle aches,feverish,rashes,general discomfort,joint pain,,
norovirus infection,diarrhea,abdominal pain,loss of appetite,dehydration,chills,sweating,general discomfort,,,,,
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,bloody stools,stomach cramps,headache,fatigue,dehydration,loss of appetite,muscle aches,body aches,feverish,chills,joint pain
shigellosis (bacillary dysentery),fever,diarrhea,vomiting,headache,fatigue,dehydration,loss of appetite,feverish,rashes,general discomfort,chills,joint pain
"hand, foot, and mouth disease",fever,loss of appetite,sore throat,mouth sores,red spots,fatigue,sore muscles,headache,general discomfort,mild fever,difficulty swallowing,
shigellosis (bacillary dysentery),abdominal pain or cramps,nausea,stomach cramps,fatigue,dehydration,muscle aches,body aches,chills,,,,
norovirus infection,diarrhea,vomiting,stomach cramps,headache,fatigue,loss of appetite,sweating,body aches,general discomfort,fever,,
norovirus infection,stomach cramps,headache,fatigue,rashes,general discomfort,irritability,,,,,,
shigellosis (bacillary dysentery),fever,diarrhea,bloody stools,stomach cramps,dehydration,loss of appetite,muscle aches,body aches,feverish,general discomfort,chills,
roseola,runny nose,rash,irritability,fatigue,sore throat,headache,cough,red eyes,diarrhea,,,
roseola,high fever,irritability,headache,cough,red eyes,body aches,rashes,feverish,,,,
roseola,runny nose,rash,irritability,fatigue,swollen lymph nodes,sore throat,headache,diarrhea,loss of appetite,,,
norovirus infection,vomiting,stomach cramps,low-grade fever,headache,loss of appetite,dehydration,sweating,body aches,rashes,general discomfort,fever,irritability
